Date,Team,Acquired,Relinquished,Notes,salaries
3/30/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP),#REF!
3/30/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP),#REF!
3/30/2014,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP),#REF!
3/30/2014,Celtics,,Vitor Faverani,knee injury (DNP),#REF!
3/30/2014,Jazz,,Malcolm Thomas ,placed on IL,#REF!
3/30/2014,Jazz,Alec Burks,,activated from IL,#REF!
3/30/2014,Lakers,,Pau Gasol,vertigo (DNP),#REF!
3/30/2014,Lakers,,Steve Nash,nerve root irritation (DNP),#REF!
3/30/2014,Lakers,,Xavier Henry,torn ligament in left wrist / knee injury (CBC) (DNP),#REF!
3/30/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP),#REF!
3/30/2014,Thunder,,Reggie Jackson ,back spasms (DNP),#REF!
3/30/2014,Warriors,,Andrew Bogut,bruised pelvis (DNP),#REF!
3/30/2014,Warriors,,David Lee,strained right hamstring (DNP),#REF!
3/31/2014,76ers,,B.J. Mullens,sprained left ankle (DNP),#REF!
3/31/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP),#REF!
3/31/2014,Bucks,,Nate Wolters,fractured left hand (DNP),#REF!
3/31/2014,Celtics,,Vitor Faverani,knee injury (DNP),#REF!
3/31/2014,Clippers,,Blake Griffin,back spasms (DNP),#REF!
3/31/2014,Clippers,,Danny Granger,strained left hamstring (DNP),#REF!
3/31/2014,Clippers,,Jamal Crawford,left calf injury (DNP),#REF!
3/31/2014,Heat,,Dwyane Wade,strained left hamstring (DNP),#REF!
3/31/2014,Kings,,Aaron Gray,illness (DNP),#REF!
3/31/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP),#REF!
3/31/2014,Knicks,,Amar'e Stoudemire,knee injury (DNP),#REF!
3/31/2014,Knicks,,Toure Murry,stomach virus (DNP),#REF!
3/31/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP),#REF!
3/31/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP),#REF!
3/31/2014,Nuggets,,Wilson Chandler,strained left groin (DNP),#REF!
3/31/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP),#REF!
3/31/2014,Pelicans,,Jason Smith,right knee injury (DNP),#REF!
3/31/2014,Raptors,,Dwight Buycks,placed on IL,#REF!
3/31/2014,Raptors,Patrick Patterson,,activated from IL,#REF!
3/31/2014,Spurs,,Aron Baynes,sprained right foot / rib injury (CBC) (DNP),#REF!
4/1/2014,Mavericks,,Gal Mekel,knee injury (DNP),#REF!
4/1/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP),#REF!
4/1/2014,Nets,,Marcus Thornton ,back injury (DNP),#REF!
4/1/2014,Rockets,,Dwight Howard,sprained left ankle (DNP),#REF!
4/1/2014,Rockets,,Patrick Beverley,sprained right knee (DNP),#REF!
4/1/2014,Rockets,,Terrence Jones,flu (DNP),#REF!
4/1/2014,Warriors,,Andrew Bogut,bruised pelvis (DNP),#REF!
4/1/2014,Warriors,,David Lee,strained right hamstring (DNP),#REF!
4/2/2014,76ers,,B.J. Mullens,sprained left ankle (DNP),#REF!
4/2/2014,Bobcats,,Josh McRoberts,sprained left ankle (DNP),#REF!
4/2/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP),#REF!
4/2/2014,Bucks,,Nate Wolters,fractured left hand (DNP),#REF!
4/2/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP),#REF!
4/2/2014,Cavaliers,,Anderson Varejao,sprained AC joint in right shoulder (DNP),#REF!
4/2/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP),#REF!
4/2/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP),#REF!
4/2/2014,Cavaliers,Kyrie Irving,,activated from IL,#REF!
4/2/2014,Celtics,,Avery Bradley,strained right Achilles tendon (DNP),#REF!
4/2/2014,Celtics,,Vitor Faverani,knee injury (DNP),#REF!
4/2/2014,Clippers,,Danny Granger,strained left hamstring (DNP),#REF!
4/2/2014,Clippers,,Jamal Crawford,left calf injury (DNP),#REF!
4/2/2014,Heat,,Dwyane Wade,placed on IL with strained left hamstring,#REF!
4/2/2014,Kings,,Aaron Gray,stomach illness (DNP),#REF!
4/2/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP),#REF!
4/2/2014,Lakers,,Chris Kaman,sore right calf (DNP),#REF!
4/2/2014,Lakers,,Pau Gasol,vertigo (DNP),#REF!
4/2/2014,Lakers,,Steve Nash,sprained ankle / nerve root irritation (P) (DNP),#REF!
4/2/2014,Lakers,,Xavier Henry,torn ligament in left wrist (DNP),#REF!
4/2/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP),#REF!
4/2/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP),#REF!
4/2/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP),#REF!
4/2/2014,Nuggets,,Wilson Chandler,strained left groin (DNP),#REF!
4/2/2014,Pacers,,Solomon Hill,sore back (DNP),#REF!
4/2/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP),#REF!
4/2/2014,Pelicans,,Jason Smith,right knee injury (DNP),#REF!
4/2/2014,Raptors,,Kyle Lowry,placed on IL with sore left knee,#REF!
4/2/2014,Raptors,Julyan Stone,,activated from IL,#REF!
4/2/2014,Rockets,,Dwight Howard,sprained left ankle (DNP),#REF!
4/2/2014,Rockets,,Patrick Beverley,sprained right knee (DNP),#REF!
4/2/2014,Spurs,,Aron Baynes,rib injury (DNP),#REF!
4/2/2014,Spurs,,Austin Daye,strained lat (DNP),#REF!
4/2/2014,Timberwolves,,Nikola Pekovic,placed on IL with sore right ankle,#REF!
4/2/2014,Timberwolves,Ronny Turiaf,,activated from IL,#REF!
4/2/2014,Warriors,,Andre Iguodala,right knee injury (DNP),#REF!
4/2/2014,Warriors,,Andrew Bogut,bruised pelvis (DNP),#REF!
4/2/2014,Warriors,,David Lee,strained right hamstring / right knee tendinitis (P) (DNP),#REF!
4/2/2014,Heat,Ray Allen,,activated from IL,#REF!
4/2/2014,Heat,,Ray Allen,stomach virus (DNP),#REF!
4/3/2014,Clippers,,Danny Granger,placed on IL with strained left hamstring,#REF!
4/3/2014,Clippers,,Jamal Crawford,left calf injury (DNP),#REF!
4/3/2014,Clippers,J.J. Redick,,activated from IL,#REF!
4/3/2014,Mavericks,,Gal Mekel,knee injury (DNP),#REF!
4/3/2014,Spurs,,Aron Baynes,placed on IL with rib injury,#REF!
4/3/2014,Spurs,,Austin Daye,strained lat (DNP),#REF!
4/3/2014,Spurs,,Manu Ginobili,rest (DNP),#REF!
4/3/2014,Thunder,,Reggie Williams,placed on IL,#REF!
4/3/2014,Thunder,Kendrick Perkins,,activated from IL,#REF!
4/3/2014,Timberwolves,A.J. Price,,activated from IL,#REF!
4/4/2014,76ers,,B.J. Mullens,sprained left ankle (DNP),#REF!
4/4/2014,Bobcats,,Josh McRoberts,sprained left ankle (DNP),#REF!
4/4/2014,Bucks,,Ekpe Udoh,right knee injury (DNP),#REF!
4/4/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP),#REF!
4/4/2014,Bucks,,Nate Wolters,fractured left hand (DNP),#REF!
4/4/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP),#REF!
4/4/2014,Cavaliers,,C.J. Miles,placed on IL with sprained left ankle (out for season),#REF!
4/4/2014,Cavaliers,,Sergey Karasev,right knee tendinitis (DNP),#REF!
4/4/2014,Cavaliers,,Will Bynum,placed on IL with foot injury (out for season),#REF!
4/4/2014,Celtics,,Avery Bradley,strained right Achilles tendon (DNP),#REF!
4/4/2014,Celtics,,Vitor Faverani,knee injury (DNP),#REF!
4/4/2014,Heat,,Justin Hamilton ,illness (DNP),#REF!
4/4/2014,Jazz,,Brandon Rush,placed on IL with illness,#REF!
4/4/2014,Jazz,Malcolm Thomas ,,activated from IL,#REF!
4/4/2014,Kings,,Aaron Gray,illness (DNP),#REF!
4/4/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP),#REF!
4/4/2014,Lakers,,Chris Kaman,sore right calf (DNP),#REF!
4/4/2014,Lakers,,Pau Gasol,vertigo (DNP),#REF!
4/4/2014,Lakers,,Xavier Henry,torn ligament in left wrist (DNP),#REF!
4/4/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP),#REF!
4/4/2014,Mavericks,,Gal Mekel,knee injury (DNP),#REF!
4/4/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP),#REF!
4/4/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP),#REF!
4/4/2014,Nuggets,,Wilson Chandler,strained left groin (DNP),#REF!
4/4/2014,Pacers,,Solomon Hill,sore back (DNP),#REF!
4/4/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP),#REF!
4/4/2014,Pelicans,,Jason Smith,right knee injury (DNP),#REF!
4/4/2014,Pistons,Josh Harrellson,,activated from IL,#REF!
4/4/2014,Raptors,,Amir Johnson,placed on IL with right ankle injury,#REF!
4/4/2014,Raptors,Dwight Buycks,,activated from IL,#REF!
4/4/2014,Rockets,,Dwight Howard,sprained left ankle (DNP),#REF!
4/4/2014,Rockets,,Patrick Beverley,sprained right knee (DNP),#REF!
4/4/2014,Thunder,,Russell Westbrook,rest / knee injury (DNP),#REF!
4/4/2014,Thunder,,Thabo Sefolosha,placed on IL with strained left calf (P),#REF!
4/4/2014,Thunder,Reggie Williams,,activated from IL,#REF!
4/4/2014,Timberwolves,,Dante Cunningham,placed on IL with legal issues,#REF!
4/4/2014,Timberwolves,,Kevin Martin,sore right foot (DNP),#REF!
4/4/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP),#REF!
4/4/2014,Warriors,,Andrew Bogut,bruised pelvis (DNP),#REF!
4/4/2014,Warriors,,David Lee,strained right hamstring (DNP),#REF!
4/5/2014,76ers,,B.J. Mullens,sprained left ankle (DNP),#REF!
4/5/2014,Bobcats,,Josh McRoberts,sprained left ankle (DNP),#REF!
4/5/2014,Bucks,,Ekpe Udoh,right knee injury (DNP),#REF!
4/5/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP),#REF!
4/5/2014,Bucks,,Miroslav Raduljica,sprained ankle (DNP),#REF!
4/5/2014,Bucks,,Nate Wolters,fractured left hand (DNP),#REF!
4/5/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP),#REF!
4/5/2014,Cavaliers,,Sergey Karasev,right knee tendinitis (DNP),#REF!
4/5/2014,Celtics,,Avery Bradley,strained right Achilles tendon (DNP),#REF!
4/5/2014,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP),#REF!
4/5/2014,Celtics,,Rajon Rondo,rest (DNP),#REF!
4/5/2014,Celtics,,Vitor Faverani,knee injury (DNP),#REF!
4/5/2014,Lakers,,Steve Nash,back injury (DNP),#REF!
4/5/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP),#REF!
4/5/2014,Nets,,Marquis Teague,placed on IL,#REF!
4/5/2014,Nets,Kevin Garnett,,activated from IL,#REF!
4/5/2014,Timberwolves,,Kevin Love,back spasms (DNP),#REF!
4/5/2014,Timberwolves,,Kevin Martin,sore right foot (DNP),#REF!
4/5/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP),#REF!
4/5/2014,Timberwolves,,Shabazz Muhammad,sore right knee (DNP),#REF!
4/5/2014,Timberwolves,Dante Cunningham,,activated from IL,#REF!
4/5/2014,Jazz,Andris Biedrins,,activated from IL,#REF!
4/6/2014,Clippers,,Danny Granger,strained left hamstring (DNP),#REF!
4/6/2014,Clippers,,Jamal Crawford,left calf injury (DNP),#REF!
4/6/2014,Grizzlies,,Tayshaun Prince,placed on IL with sprained left ankle,#REF!
4/6/2014,Grizzlies,Jamaal Franklin,,activated from IL,#REF!
4/6/2014,Hawks,,Lou Williams,hamstring injury (DNP),#REF!
4/6/2014,Heat,,Chris Andersen,bruised right knee (DNP),#REF!
4/6/2014,Heat,,Justin Hamilton ,illness (DNP),#REF!
4/6/2014,Jazz,,Erik Murphy,placed on IL,#REF!
4/6/2014,Jazz,,Malcolm Thomas ,placed on IL,#REF!
4/6/2014,Jazz,Brandon Rush,,activated from IL,#REF!
4/6/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP),#REF!
4/6/2014,Lakers,,Chris Kaman,sore/strained right calf (DNP),#REF!
4/6/2014,Lakers,,Pau Gasol,vertigo (DNP),#REF!
4/6/2014,Lakers,,Steve Nash,nerve root irritation (DNP),#REF!
4/6/2014,Lakers,,Xavier Henry,placed on IL with left wrist injury,#REF!
4/6/2014,Mavericks,,Gal Mekel,knee injury (DNP),#REF!
4/6/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP),#REF!
4/6/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP),#REF!
4/6/2014,Nuggets,,Ty Lawson,sprained left ankle (DNP),#REF!
4/6/2014,Nuggets,,Wilson Chandler,strained left groin (DNP),#REF!
4/6/2014,Pacers,,Solomon Hill,sore back (DNP),#REF!
4/6/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP),#REF!
4/6/2014,Pelicans,,Jason Smith,right knee injury (DNP),#REF!
4/6/2014,Rockets,,Dwight Howard,sprained left ankle (DNP),#REF!
4/6/2014,Rockets,,Patrick Beverley,sprained right knee (DNP),#REF!
4/6/2014,Spurs,,Damion James,placed on IL,#REF!
4/6/2014,Spurs,Matt Bonner,,activated from IL,#REF!
4/6/2014,Thunder,,Reggie Williams,placed on IL,#REF!
4/6/2014,Warriors,,David Lee,strained right hamstring / nerve irritation in right leg (P) (DNP),#REF!
4/6/2014,Lakers,Jordan Farmar,,activated from IL,#REF!
4/6/2014,Lakers,,Jordan Farmar,strained right groin (DNP),#REF!
4/7/2014,Lakers,,Kent Bazemore,right foot injury (out indefinitely),#REF!
4/8/2014,Hawks,,Lou Williams,hamstring injury (DNP),#REF!
4/8/2014,Heat,,Udonis Haslem,stomach virus (DNP),#REF!
4/8/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP),#REF!
4/8/2014,Kings,,Reggie Evans,sore lower back (DNP),#REF!
4/8/2014,Kings,,Rudy Gay,strained lower back (DNP),#REF!
4/8/2014,Lakers,,Chris Kaman,sore/strained right calf (DNP),#REF!
4/8/2014,Lakers,,Kent Bazemore,torn tendon in right foot (DNP),#REF!
4/8/2014,Lakers,,Pau Gasol,vertigo (DNP),#REF!
4/8/2014,Mavericks,,Gal Mekel,knee injury (DNP),#REF!
4/8/2014,Nets,,Andray Blatche,illness (DNP),#REF!
4/8/2014,Nets,,Kevin Garnett,placed on IL with back injury,#REF!
4/8/2014,Nets,Marquis Teague,,activated from IL,#REF!
4/8/2014,Pelicans,,Ryan Anderson,surgery on neck to repair herniated disc (out for season) (date approximate),#REF!
4/8/2014,Pistons,,Josh Smith,knee injury (DNP),#REF!
4/8/2014,Rockets,,Dwight Howard,sprained left ankle (DNP),#REF!
4/8/2014,Rockets,,Patrick Beverley,sprained right knee (DNP),#REF!
4/8/2014,Spurs,, Tony Parker,placed on IL with back spasms,#REF!
4/8/2014,Spurs,Damion James,,activated from IL,#REF!
4/8/2014,Thunder,,Russell Westbrook,knee injury (DNP),#REF!
4/8/2014,Thunder,Thabo Sefolosha,,activated from IL,#REF!
4/8/2014,Timberwolves,,Chase Budinger,sprained right ankle (DNP),#REF!
4/8/2014,Timberwolves,,Kevin Martin,sore right foot (DNP),#REF!
4/8/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP),#REF!
4/8/2014,Timberwolves,,Shabazz Muhammad,placed on IL with sprained MCL in right knee (out for season),#REF!
4/9/2014,76ers,,B.J. Mullens,sprained left ankle (DNP),#REF!
4/9/2014,Blazers,,Allen Crabbe,placed on IL,#REF!
4/9/2014,Blazers,,Mo Williams,placed on IL with knee injury,#REF!
4/9/2014,Bucks,,Ekpe Udoh,right knee injury (DNP),#REF!
4/9/2014,Bucks,,Ersan Ilyasova,placed on IL with right ankle injury (out for season),#REF!
4/9/2014,Bucks,,Miroslav Raduljica,sprained ankle (DNP),#REF!
4/9/2014,Bucks,,Nate Wolters,placed on IL with fractured left hand (out for season),#REF!
4/9/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP),#REF!
4/9/2014,Bucks,Larry Sanders ,,activated from IL,#REF!
4/9/2014,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP),#REF!
4/9/2014,Celtics,,Vitor Faverani,knee injury (DNP),#REF!
4/9/2014,Clippers,,Danny Granger,strained left hamstring (DNP),#REF!
4/9/2014,Clippers,,Jamal Crawford,left calf injury (DNP),#REF!
4/9/2014,Hawks,,Pero Antic,sore right ankle (DNP),#REF!
4/9/2014,Heat,,Chris Andersen,bruised right knee (DNP),#REF!
4/9/2014,Heat,,Udonis Haslem,stomach virus (DNP),#REF!
4/9/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP),#REF!
4/9/2014,Kings,,Rudy Gay,strained lower back (DNP),#REF!
4/9/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP),#REF!
4/9/2014,Nets,,Andray Blatche,placed on IL with illness,#REF!
4/9/2014,Nets,,Paul Pierce,right hip pointer (DNP),#REF!
4/9/2014,Nets,,Shaun Livingston,sprained right big toe (DNP),#REF!
4/9/2014,Nets,Kevin Garnett,,activated from IL,#REF!
4/9/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP),#REF!
4/9/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP),#REF!
4/9/2014,Nuggets,,Ty Lawson,sprained left ankle (DNP),#REF!
4/9/2014,Nuggets,,Wilson Chandler,strained left groin (DNP),#REF!
4/9/2014,Pacers,,David West,rest (DNP),#REF!
4/9/2014,Pacers,,George Hill,rest (DNP),#REF!
4/9/2014,Pacers,,Lance Stephenson,rest (DNP),#REF!
4/9/2014,Pacers,,Paul George,rest (DNP),#REF!
4/9/2014,Pacers,,Roy Hibbert,placed on IL,#REF!
4/9/2014,Pacers,C.J. Watson,,activated from IL,#REF!
4/9/2014,Pelicans,,Anthony Davis,back spasms (DNP),#REF!
4/9/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP),#REF!
4/9/2014,Pelicans,,Jason Smith,right knee injury (DNP),#REF!
4/9/2014,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP),#REF!
4/9/2014,Raptors,,Julyan Stone,placed on IL,#REF!
4/9/2014,Raptors,Kyle Lowry,,activated from IL,#REF!
4/9/2014,Rockets,,Dwight Howard,placed on IL with sprained left ankle,#REF!
4/9/2014,Rockets,,Patrick Beverley,sprained right knee (DNP),#REF!
4/9/2014,Thunder,,Andre Roberson,placed on IL,#REF!
4/9/2014,Thunder,,Grant Jerrett,placed on IL,#REF!
4/9/2014,Timberwolves,,Chase Budinger,sprained right ankle (DNP),#REF!
4/9/2014,Timberwolves,,Jose Barea ,back spasms (DNP),#REF!
4/9/2014,Timberwolves,,Kevin Martin,sore right foot (DNP),#REF!
4/9/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP),#REF!
4/9/2014,Wizards,,Chris Singleton,placed on IL,#REF!
4/9/2014,Wizards,Nene Hilario ,,activated from IL,#REF!
4/10/2014,Mavericks,,Gal Mekel,knee injury (DNP),#REF!
4/10/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP),#REF!
4/10/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP),#REF!
4/10/2014,Nuggets,,Ty Lawson,sprained left ankle (DNP),#REF!
4/10/2014,Nuggets,,Wilson Chandler,strained left groin (DNP),#REF!
4/10/2014,Spurs,,Damion James,placed on IL,#REF!
4/10/2014,Spurs,Aron Baynes,,activated from IL,#REF!
4/10/2014,Warriors,,David Lee,strained right hamstring / nerve irritation in right leg (P) (DNP),#REF!
4/10/2014,Rockets,Greg Smith ,,activated from IL,#REF!
4/11/2014,Blazers,Mo Williams,,activated from IL,#REF!
4/11/2014,Bobcats,,Kemba Walker,sore right groin (DNP),#REF!
4/11/2014,Bucks,,Ekpe Udoh,right knee injury (DNP),#REF!
4/11/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP),#REF!
4/11/2014,Cavaliers,,Luol Deng,back injury (DNP),#REF!
4/11/2014,Cavaliers,,Scotty Hopson,placed on IL,#REF!
4/11/2014,Cavaliers,,Sergey Karasev,placed on IL,#REF!
4/11/2014,Celtics,,Rajon Rondo,bruised left shin (DNP),#REF!
4/11/2014,Celtics,,Vitor Faverani,knee injury (DNP),#REF!
4/11/2014,Jazz,,Marvin Williams,placed on IL with knee injury,#REF!
4/11/2014,Jazz,Malcolm Thomas ,,activated from IL,#REF!
4/11/2014,Lakers,,Chris Kaman,sore/strained right calf (DNP),#REF!
4/11/2014,Lakers,,Kent Bazemore,torn tendon in right foot (DNP),#REF!
4/11/2014,Lakers,,Pau Gasol,vertigo (DNP),#REF!
4/11/2014,Lakers,,Steve Nash,back injury / nerve root irritation (DNP),#REF!
4/11/2014,Lakers,,Xavier Henry,surgery on left wrist and right knee (out indefinitely),#REF!
4/11/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP),#REF!
4/11/2014,Nets,,Alan Anderson,sore abdominal muscle (DNP),#REF!
4/11/2014,Nets,,Deron Williams,placed on IL with knee injury,#REF!
4/11/2014,Nets,,Shaun Livingston,sprained right big toe (DNP),#REF!
4/11/2014,Nets,Andray Blatche,,activated from IL,#REF!
4/11/2014,Pacers,,Solomon Hill,placed on IL,#REF!
4/11/2014,Pacers,Roy Hibbert,,activated from IL,#REF!
4/11/2014,Pelicans,,Anthony Davis,back spasms (DNP),#REF!
4/11/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP),#REF!
4/11/2014,Pelicans,,Jason Smith,placed on IL with right knee injury,#REF!
4/11/2014,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP),#REF!
4/11/2014,Raptors,,Dwight Buycks,placed on IL,#REF!
4/11/2014,Raptors,,Landry Fields,placed on IL with respiratory ailment,#REF!
4/11/2014,Raptors,Amir Johnson,,activated from IL,#REF!
4/11/2014,Raptors,Julyan Stone,,activated from IL,#REF!
4/11/2014,Rockets,,Dexter Pittman,placed on IL,#REF!
4/11/2014,Rockets,,Patrick Beverley,sprained right knee (DNP),#REF!
4/11/2014,Rockets,Robert Covington,,activated from IL,#REF!
4/11/2014,Spurs,,Manu Ginobili,calf injury / rest (DNP),#REF!
4/11/2014,Spurs,,Matt Bonner,food poisoning (DNP),#REF!
4/11/2014,Spurs,,Tim Duncan,placed on IL for rest,#REF!
4/11/2014,Spurs, Tony Parker,,activated from IL,#REF!
4/11/2014,Spurs,Damion James,,activated from IL,#REF!
4/11/2014,Suns,,Goran Dragic,sprained ankle (DNP),#REF!
4/11/2014,Timberwolves,,Chase Budinger,sprained right ankle (DNP),#REF!
4/11/2014,Timberwolves,,Kevin Love,hyperextended right elbow (DNP),#REF!
4/11/2014,Timberwolves,,Kevin Martin,sore right foot (DNP),#REF!
4/11/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP),#REF!
4/11/2014,Warriors,,Andre Iguodala,right knee tendinitis (DNP),#REF!
4/11/2014,Warriors,,Jermaine O'Neal,left knee injury (DNP),#REF!
4/11/2014,Cavaliers,C.J. Miles,,activated from IL,#REF!
4/11/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP),#REF!
4/11/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP),#REF!
4/12/2014,76ers,,Jarvis Varnado,sore right heel (DNP),#REF!
4/12/2014,Bobcats,,Kemba Walker,sore right groin (DNP),#REF!
4/12/2014,Bucks,,Brandon Knight,hip injury (DNP),#REF!
4/12/2014,Bucks,,Ekpe Udoh,right knee injury (DNP),#REF!
4/12/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP),#REF!
4/12/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP),#REF!
4/12/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP),#REF!
4/12/2014,Cavaliers,,Luol Deng,back injury (DNP),#REF!
4/12/2014,Celtics,,Jared Sullinger,sprained left ankle (DNP),#REF!
4/12/2014,Celtics,,Jerryd Bayless,hyperextended right knee (DNP),#REF!
4/12/2014,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP),#REF!
4/12/2014,Celtics,,Rajon Rondo,bruised left shin (DNP),#REF!
4/12/2014,Celtics,,Vitor Faverani,knee injury (DNP),#REF!
4/12/2014,Clippers,,Danny Granger,strained left hamstring (DNP),#REF!
4/12/2014,Hawks,,Pero Antic,sprained right ankle (DNP),#REF!
4/12/2014,Heat,,Justin Hamilton ,placed on IL,#REF!
4/12/2014,Heat,Dwyane Wade,,activated from IL,#REF!
4/12/2014,Jazz,,Marvin Williams,knee injury (DNP),#REF!
4/12/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP),#REF!
4/12/2014,Mavericks,,Gal Mekel,knee injury (DNP),#REF!
4/12/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP),#REF!
4/12/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP),#REF!
4/12/2014,Nuggets,,Ty Lawson,sprained left ankle (DNP),#REF!
4/12/2014,Pelicans,,Anthony Davis,back spasms (DNP),#REF!
4/12/2014,Pelicans,,Brian Roberts,sprained left ankle (DNP),#REF!
4/12/2014,Pelicans,,Eric Gordon,left knee tendinitis (surgery) (DNP),#REF!
4/12/2014,Pelicans,,Jason Smith,right knee injury (DNP),#REF!
4/12/2014,Pelicans,,Tyreke Evans,DNP,#REF!
4/12/2014,Rockets,,Chandler Parsons,sore wrist (DNP),#REF!
4/12/2014,Rockets,,Francisco Garcia,placed on IL with back injury,#REF!
4/12/2014,Rockets,Dexter Pittman,,activated from IL,#REF!
4/12/2014,Rockets,Dwight Howard,,activated from IL,#REF!
4/12/2014,Wizards,,Nene Hilario ,placed on IL with knee injury,#REF!
4/12/2014,Wizards,Chris Singleton,,activated from IL,#REF!
4/13/2014,Blazers,,Victor Claver,placed on IL,#REF!
4/13/2014,Blazers,Joel Freeland,,activated from IL (P),#REF!
4/13/2014,Grizzlies,,Jamaal Franklin,placed on IL,#REF!
4/13/2014,Grizzlies,Tayshaun Prince,,activated from IL,#REF!
4/13/2014,Kings,,Rudy Gay,strained lower back (DNP),#REF!
4/13/2014,Lakers,,Chris Kaman,sore/strained right calf (DNP),#REF!
4/13/2014,Lakers,,Kent Bazemore,torn tendon in right foot (DNP),#REF!
4/13/2014,Lakers,,Pau Gasol,vertigo (DNP),#REF!
4/13/2014,Lakers,,Steve Nash,back injury / nerve root irritation (DNP),#REF!
4/13/2014,Magic,,Jameer Nelson,strained left groin (DNP),#REF!
4/13/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP),#REF!
4/13/2014,Nets,,Alan Anderson,sore abdominal muscle (DNP),#REF!
4/13/2014,Nets,,Shaun Livingston,placed on IL with sprained right big toe,#REF!
4/13/2014,Nets,Deron Williams,,activated from IL,#REF!
4/13/2014,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP),#REF!
4/13/2014,Raptors,,Julyan Stone,placed on IL,#REF!
4/13/2014,Raptors,,Landry Fields,respiratory ailment (DNP),#REF!
4/13/2014,Raptors,Dwight Buycks,,activated from IL,#REF!
4/13/2014,Timberwolves,,Chase Budinger,sprained right ankle (DNP),#REF!
4/13/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP),#REF!
