rating,height,weight,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
73,2.01,105.2,2017,1,23,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,26.038959431697243,6,0,0,0,0,1,0,0,0,1
79,2.13,101.2,2018,2,36,583.257281553398,198.99757281553397,2.850071428571429,5.0,25.0,22.305979854085393,1,1,0,0,0,0,0,0,1,0
80,2.08,118.8,2011,1,3,147.0,195.0,0.489,12.0,31.0,27.459319526627215,4,1,0,0,0,0,0,0,0,1
75,2.24,131.5,2010,0,0,583.257281553398,198.99757281553397,0.0,13.0,35.0,26.207748724489793,6,1,0,0,0,0,0,0,0,1
72,1.96,88.5,2019,1,24,583.257281553398,198.99757281553397,2.850071428571429,4.0,26.0,23.037276134943774,1,0,0,0,0,0,1,0,1,0
72,1.98,107.0,2019,1,22,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,27.293133353739414,4,0,0,1,0,0,0,0,1,0
78,2.08,111.6,2015,1,22,37.0,73.0,2.850071428571429,8.0,28.0,25.795118343195263,1,0,0,0,1,0,0,0,1,0
79,2.13,120.2,2008,1,10,583.257281553398,198.99757281553397,0.0,15.0,35.0,26.493861447243717,6,1,0,0,0,0,0,0,1,0
76,1.96,82.1,2015,1,20,11.5,14.0,2.850071428571429,8.0,31.0,21.371303623490213,6,0,0,0,0,0,1,0,1,0
70,2.03,90.7,2019,1,23,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,22.00975515057391,6,0,0,1,0,0,0,0,1,0
85,1.85,79.4,2005,1,4,829.0,178.5,6.4,18.0,38.0,23.199415631848066,6,0,0,0,0,0,1,0,1,0
81,2.13,106.6,2010,2,33,194.0,155.0,0.164,13.0,34.0,23.496219885825127,6,1,0,0,0,0,0,0,1,0
79,2.13,122.5,2008,1,18,0.0,32.0,0.193,15.0,35.0,27.000815534836565,6,1,0,0,0,0,0,0,1,0
76,1.75,83.9,2011,2,60,467.5,155.5,0.639,12.0,34.0,27.39591836734694,1,0,0,0,0,0,1,0,1,0
97,2.01,102.1,2011,1,15,2701.5,716.5,0.166,12.0,32.0,25.271651691789813,6,0,0,1,0,0,0,0,1,0
75,1.93,88.5,2012,0,0,583.257281553398,198.99757281553397,2.850071428571429,11.0,34.0,23.759027087975518,3,0,0,0,0,0,1,0,1,0
79,2.13,109.8,2015,1,6,0.0,17.0,2.850071428571429,8.0,30.0,24.201547312041264,6,1,0,0,0,0,0,0,1,0
73,1.83,83.9,2015,1,24,0.0,14.0,2.850071428571429,8.0,27.0,25.05300247842575,2,0,0,0,0,0,1,0,1,0
75,2.03,111.1,2011,1,13,9.0,18.0,2.850071428571429,12.0,34.0,26.960130068674324,6,0,0,1,0,0,0,0,1,0
78,1.93,90.7,2017,1,29,583.257281553398,198.99757281553397,2.850071428571429,6.0,29.0,24.34964697038847,3,0,0,0,0,0,1,0,1,0
78,1.91,81.6,2009,1,5,262.5,76.0,2.23,14.0,33.0,22.36780790000274,1,0,0,0,0,0,1,0,0,1
95,2.13,113.4,2014,1,3,6852.5,2941.0,0.793,9.0,29.0,24.995040666534422,6,1,0,0,0,0,0,0,0,1
71,2.06,111.1,2019,2,34,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,26.180601376190026,1,0,0,1,0,0,0,0,0,1
78,1.98,91.6,2019,1,3,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,23.364962758902152,1,0,0,0,0,0,1,0,0,1
75,1.85,90.7,2015,0,0,583.257281553398,198.99757281553397,2.850071428571429,8.0,31.0,26.501095690284878,2,0,0,0,0,0,1,0,1,0
74,1.85,81.6,2015,0,0,583.257281553398,198.99757281553397,2.850071428571429,8.0,30.0,23.842220598977352,6,0,0,0,0,0,1,0,1,0
72,2.08,122.5,2014,0,0,583.257281553398,198.99757281553397,2.850071428571429,9.0,31.0,28.314534023668635,2,0,0,1,0,0,0,0,0,1
76,2.06,106.6,2005,2,36,583.257281553398,198.99757281553397,2.850071428571429,18.0,36.0,25.120180978414552,6,0,0,1,0,0,0,0,0,1
70,2.06,99.8,2017,1,24,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,23.51776793288717,1,0,0,0,1,0,0,0,1,0
78,1.98,93.0,2014,1,27,583.257281553398,198.99757281553397,2.850071428571429,9.0,31.0,23.72206917661463,3,0,0,0,0,0,1,0,0,1
89,1.98,93.0,2011,1,11,797.0,225.0,2.850071428571429,12.0,33.0,23.72206917661463,6,0,0,0,0,0,1,0,1,0
71,1.91,85.7,2013,1,7,30.0,17.0,2.850071428571429,10.0,30.0,23.49168060086072,6,0,0,0,0,0,1,0,1,0
76,2.08,122.5,2015,1,3,583.257281553398,198.99757281553397,2.850071428571429,8.0,28.0,28.314534023668635,3,1,0,0,0,0,0,0,1,0
75,2.01,89.8,2012,2,32,7.0,8.5,2.850071428571429,11.0,32.0,22.22717259473776,2,0,0,0,0,0,1,0,0,1
70,1.96,91.2,2018,2,35,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,23.740108288213246,4,0,0,1,0,0,0,0,1,0
72,2.03,95.3,2019,1,11,583.257281553398,198.99757281553397,2.850071428571429,4.0,27.0,23.12601616151812,1,0,0,1,0,0,0,0,1,0
75,1.98,95.7,2015,1,23,583.257281553398,198.99757281553397,2.850071428571429,8.0,28.0,24.410774410774412,6,0,0,1,0,0,0,0,1,0
77,2.01,99.8,2016,1,12,583.257281553398,198.99757281553397,2.850071428571429,7.0,29.0,24.702358852503657,6,0,0,1,0,0,0,0,1,0
91,2.13,113.4,2014,1,3,6852.5,2941.0,0.793,9.0,29.0,24.995040666534422,6,1,0,0,0,0,0,0,0,1
78,1.96,79.4,2012,2,40,1.0,3.0,2.850071428571429,11.0,32.0,20.668471470220744,6,0,0,0,0,0,1,0,1,0
76,1.91,88.5,2010,1,19,583.257281553398,198.99757281553397,2.850071428571429,13.0,33.0,24.259203420958855,6,0,0,0,0,0,1,0,1,0
70,1.96,102.1,2016,2,58,583.257281553398,198.99757281553397,2.850071428571429,7.0,30.0,26.57746772178259,6,0,0,1,0,0,0,0,0,1
75,1.96,92.5,2017,1,30,583.257281553398,198.99757281553397,2.850071428571429,6.0,28.0,24.078508954602253,3,0,0,0,0,0,1,0,1,0
70,2.08,98.0,2016,1,28,583.257281553398,198.99757281553397,2.850071428571429,7.0,27.0,22.65162721893491,1,0,1,0,0,0,0,0,0,1
96,2.11,109.8,2013,1,15,583.257281553398,198.99757281553397,0.246,10.0,29.0,24.662518811347454,6,0,0,0,0,1,0,0,0,1
76,2.03,108.9,2005,1,2,583.257281553398,198.99757281553397,2.850071428571429,18.0,37.0,26.4262661069184,6,0,0,1,0,0,0,0,1,0
73,1.98,97.5,2018,1,15,583.257281553398,198.99757281553397,2.850071428571429,5.0,24.0,24.869911233547597,6,0,0,0,0,1,0,0,1,0
80,1.96,90.7,2015,2,40,42.0,10.0,2.850071428571429,8.0,30.0,23.60995418575594,6,0,0,0,0,0,1,0,1,0
68,1.91,90.7,2015,2,60,583.257281553398,198.99757281553397,2.850071428571429,8.0,29.0,24.862257065321675,6,0,0,0,0,0,1,0,1,0
74,1.91,86.6,2011,2,55,0.0,10.0,2.850071428571429,12.0,34.0,23.73838436446369,3,0,0,0,0,0,1,0,1,0
80,1.91,86.2,2006,1,11,583.257281553398,198.99757281553397,2.850071428571429,17.0,39.0,23.628738247306817,3,0,0,0,0,0,1,0,1,0
70,1.93,108.9,2014,0,0,583.257281553398,198.99757281553397,2.850071428571429,9.0,32.0,29.235684179441062,6,0,0,0,0,0,1,0,1,0
73,2.08,104.3,2013,2,44,583.257281553398,198.99757281553397,2.850071428571429,10.0,32.0,24.107803254437865,6,0,0,0,1,0,0,0,1,0
74,1.83,80.7,2016,0,0,37.5,9.0,2.850071428571429,7.0,30.0,24.097464839200928,3,0,0,0,0,0,1,0,1,0
75,2.01,107.5,2012,2,43,2.0,1.0,2.850071428571429,11.0,35.0,26.6082522709834,6,0,0,1,0,0,0,0,1,0
79,2.01,94.8,2009,0,0,86.5,4.0,2.850071428571429,14.0,36.0,23.464765723620708,6,0,0,1,0,0,0,0,0,1
76,2.11,115.7,2015,2,35,0.0,55.5,0.055,8.0,29.0,25.987736124525508,5,0,1,0,0,0,0,0,0,1
96,1.96,99.8,2009,1,3,969.0,321.5,4.47,14.0,34.0,25.978758850478968,6,0,0,0,0,0,1,0,1,0
78,1.98,97.5,2014,2,33,0.0,0.0,2.850071428571429,9.0,32.0,24.869911233547597,6,0,0,0,0,0,1,0,1,0
78,1.91,82.1,2009,1,19,17.5,13.5,0.083,14.0,35.0,22.504865546448837,1,0,0,0,0,0,1,0,1,0
73,1.93,96.6,2018,1,20,583.257281553398,198.99757281553397,2.850071428571429,5.0,25.0,25.933582109586833,6,0,0,0,0,0,1,0,0,1
96,2.08,104.3,2007,1,2,1425.5,366.0,16.2,16.0,35.0,24.107803254437865,6,0,0,1,0,0,0,0,1,0
85,2.08,95.7,2014,1,25,120.0,45.5,0.025,9.0,29.0,22.1200073964497,1,1,0,0,0,0,0,0,0,1
72,1.93,89.4,2017,0,0,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,24.000644312598997,1,0,0,0,0,0,0,1,1,0
91,2.13,113.4,2014,1,3,6852.5,2941.0,0.793,9.0,29.0,24.995040666534422,6,1,0,0,0,0,0,0,0,1
73,2.03,97.5,2017,2,36,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,23.65988012327405,1,0,0,1,0,0,0,0,0,1
71,1.93,84.4,2017,2,52,583.257281553398,198.99757281553397,2.850071428571429,6.0,28.0,22.65832639802411,2,0,0,0,0,0,1,0,1,0
